Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,GU,2014,"8         ",Female,14,Right-Handed,158,24,158,1,Car,30,,1.342,Other,1000,1000,900,800,1000,1000,24,"Same length",70,80,"Ring finger",September,Summer,No,No,Meat,Water,"Mathematics and statistics",7,8,5,"Yes - broadband connection","In person",30,20,40,5,3,50,15,0,30,30,5,25,0,10,Some,"Graduate degree",Pop,Fly,Happy,Friend,"International aid"
USA,IN,2016,"6         ",Female,13,Right-Handed,149,21,148,2,Bus,45,0.771,52,Soccer,96,1000,914,647,5,53,21,"Same length",6,6,"Same length",October,Fall,Yes,No,Pizza/Pasta,Tea,Art,8,10,4,"No internet connection","In person",0,0,9,0,7,9,6,2,4,0,0,0,2,7,"Very little","High school",Country,"Freeze time",Rich,Other,"Arts, culture, sports"
USA,NC,2013,"6         ",Female,12,Right-Handed,151,24,151,1,Bus,65,.296,40,Swimming,650,500,500,500,900,1000,24,"Same length",73,70,"Index finger",February,Spring,Yes,No,Desserts,"Soft drink (caffeinated)","Physical education",8,9,4,"Yes - other","In person",0,0,25,.20,24,9,.5,1.5,0,0,25,8.5,1,2,"A lot","Graduate degree",Gospel,Telepathy,Happy,Friend,Health
USA,CO,2015,"7         ",Female,13,Right-Handed,,,,2,Car,15,0.888,65,Soccer,999,999,1000,999,100,1000,,"Same length",,,"Same length",October,Summer,No,No,Fruit,Water,English,7,15,4,"Yes - other","In person",4,5,,,,,,,,,,,,,,,,,,,
USA,IN,2016,"8         ",Female,13,Right-Handed,167,27,163,2,Car,25,0.29,38,Soccer,888,807,500,800,5,15,26,"Right foot",101,100,"Index finger",February,Winter,Yes,No,"No favorite",Water,Other,6.5,8,4,"Yes - broadband connection","Text messaging",7,90,28,1,7,78,6,0,56,12,11,5,7,9,Some,"Graduate degree",Pop,"Freeze time",Healthy,"Sports person","Wildlife, animals"
USA,CT,2015,"6         ",Female,11,Right-Handed,1.35,18,38,2,Bus,30,0.437,32,"Martial Arts",487,171,1000,1000,995,1000,18,"Same length",60,60,"Same length",November,Summer,No,No,Meat,Water,"Computers and technology",7,9,7,"Yes - other","Myspace, Facebook, other social networking sites, or blog",5,3,1,2,0,24,2,1,3,1,3,1,0,1,"A lot","Graduate degree",Gospel,Telepathy,Happy,Relative,"International aid"
USA,KY,2015,"6         ",Female,11,Right-Handed,149,23,146,1,Bus,20,.302,46,Baseball/Softball,1000,1000,1000,1000,577,700,22,"Right foot",80,90,"Ring finger",August,Spring,No,No,"No favorite",Milk,"Physical education",7,10,6,"Yes - other","In person",0,2,14,0,5,3,4,7,0,4,9,3,0,0,"A lot","Some college",Other,"Freeze time",Happy,Other,Other
USA,IL,2014,"6         ",Female,11,Right-Handed,160,22,150,1,Bus,15,0.447,43,Soccer,955,950,800,900,250,500,22,"Same length",73,72,"Index finger",August,Fall,Yes,No,"Rice/Noodle dishes",Milk,"Mathematics and statistics",7.5,10,5,"Yes - broadband connection","Internet chat or instant messaging",0,5,40,5,3,10,5,11,4,3,4,5,1,1,Some,"Graduate degree",Country,Telepathy,Happy,Relative,"International aid"
USA,IL,2014,"8         ",Female,13,Right-Handed,165,22,160,1,Car,5,.389,53,Swimming,620,182,37,503,1000,1000,22,"Same length",8,7,"Index finger",May,Spring,No,No,Salads,Coffee,Art,6,12,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",100,85,3,1,6,2,2,36,24,36,36,1,0,2,"A lot","Graduate degree","Heavy metal",Fly,Happy,"Doctor or nurse","Wildlife, animals"
USA,CA,2015,"8         ",Female,13,Right-Handed,149,21,149,2,Car,15,0.466,46,Soccer,497,337,561,471,332,1000,21,"Same length",,,,June,Summer,No,No,"No favorite","Soft drink (caffeinated)",Art,8,6,4,"Yes - dial-up connection","Internet chat or instant messaging",50,29,3,2,2,4,4,1,4,3,2,3,1,1,"A lot","Graduate degree",Pop,Telepathy,Happy,"Coach or club leader","Wildlife, animals"
USA,MA,2016,"6         ",Female,11,Left-Handed,154,24,157,2,Bus,25,0.399,34,Basketball,950,900,300,400,200,100,24,"Same length",96,99,"Ring finger",September,Fall,Yes,Yes,Pizza/Pasta,Water,English,9,9,6,"Yes - broadband connection","In person",0,0,3,0.25,1.3,0.5,11.5,3,0,0,5,1,0,0.5,"Very little","Graduate degree",Pop,Fly,Healthy,"Sports person",Health
USA,WI,2016,"7         ",Female,12,Right-Handed,149,22,,1,Car,12,0.451,41,Soccer,987,862,1000,854,12,35,22,"Same length",,,,July,Fall,No,No,Meat,Milk,English,8,12,5,"Yes - broadband connection","In person",0,0,40,3,7,32,16,0,1,0,6,20,0,5,Some,"Undergraduate degree",Pop,Fly,Happy,Relative,"Wildlife, animals"
USA,CO,2016,"7         ",Female,12,Right-Handed,160,8,62,3,Walk,8,0.457,39,Soccer,1000,684,941,0,75,37,8,"Right foot",30,31,"Ring finger",October,Winter,Yes,No,"Rice/Noodle dishes",Water,"Computers and technology",8,7,3,"Yes - broadband connection","In person",3,5,70,5,7,1,14,14,4,6,15,28,0,1,Some,"Graduate degree",Country,Fly,Healthy,Relative,"Wildlife, animals"
USA,AZ,2016,"6         ",Female,12,Right-Handed,164,34,167,3,Bus,20,0.346,38,Running/Jogging,19,25,28,976,1000,1000,45,"Right foot",10,13,"Ring finger",December,Winter,No,No,"Rice/Noodle dishes","Energy drink","Mathematics and statistics",9,10,5,"Yes - broadband connection","In person",25,27,56,1,0.5,0.5,0,0,25,75,65,3,0,64,None,Other,"Rap/Hip hop","Freeze time",Happy,Teacher,"Wildlife, animals"
USA,IL,2016,"6         ",Female,12,Right-Handed,156,23.5,58,1,Walk,"30 ",0.357,32,Swimming,508,711,497,503,1000,1000,28,"Left foot",6.5,6.8,"Ring finger",May,Summer,No,No,Desserts,Milk,,11,8,4,"Yes - dial-up connection",Other,0,0,0,0,1,2,2,99999,0,0,3,7,0,0,"A lot","Graduate degree",Other,Fly,Rich,Relative,"Wildlife, animals"
USA,MA,2014,"8         ",Female,14,Right-Handed,157,20,157,1,Car,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MA,2014,"6         ",Female,12,Right-Handed,160,22,160,1,Bus,22,0.272,43,Soccer,500,450,600,600,500,500,23.5,"Left foot",65,62,"Index finger",September,Winter,Yes,No,Meat,Juice,English,7,10,4,"Yes - other","In person",36,22,24,2,10,4,10,10,7,48,48,36,0,1,"A lot","Graduate degree",Pop,Fly,Happy,Relative,Health
USA,NC,2014,"7         ",Female,12,Right-Handed,165,24,164,2,Bus,45,0.422,0.55,Dancing,572,348,604,471,487,1000,25,"Left foot",80,60,"Ring finger",September,Summer,No,No,Other,Milk,Music,4,0,,,,,,,,,,,,,,,,,,,,,,,,
USA,MA,2015,"7         ",Female,13,Right-Handed,163,26,168,2,Bus,20,.406,32,Athletics,722,166,332,166,936,781,26,"Same length",7.5,7.5,"Same length",November,Summer,No,No,Desserts,Juice,Science,8,10,4,"Yes - broadband connection","In person",2,5,7,0,14,4,10,0,2,1,20,2,0,2,Some,"Graduate degree",Pop,Telepathy,Happy,"Doctor or nurse",Health
USA,WI,2016,"7         ",Female,12,Right-Handed,144,24,153,1,Bus,7,,,Baseball/Softball,800,900,900,900,600,1000,24,"Same length",9,9,"Same length",February,Fall,No,No,Pizza/Pasta,Water,Science,8,7,5,"Yes - dial-up connection","Text messaging",30,20,7,1,3,8,15,14,1,8,2,3,0,1,Some,"Graduate degree",Pop,Telepathy,Happy,Actor,"Education/Youth development"
USA,WI,2016,"7         ",Female,12,Right-Handed,165,,,1,Car,15,.31,71,Dancing,,,,,,,,"Left foot",,,"Ring finger",July,Fall,No,No,Pizza/Pasta,Water,Art,8,13,6,"Yes - broadband connection","Text messaging",15,40,4,1,0,1,4,0,2,1,3,1,0,0,Some,"Graduate degree",Country,Fly,Happy,"Musician or singer","International aid"
USA,MD,2016,"6         ",Female,11,Right-Handed,150,22,157,2,Bus,20,.407,46,Swimming,578,610,508,444,321,561,22,"Same length",4,5,"Ring finger",August,Spring,Yes,No,Fruit,Water,Art,6,10,4,"Yes - other","In person",5,10,2,0,5,7,1,0,1,1,1,0,0,0,"Very little","Graduate degree",Classical,"Freeze time",Happy,Teacher,Health
USA,RI,2013,"6         ",Female,12,Right-Handed,153,23,153,1,Car,2,0.445,43,Dancing,711,893,1000,920,455,647,22,"Right foot",80,80,"Same length",February,Summer,No,No,"Rice/Noodle dishes",Coffee,"Physical education",10,12,3,"Yes - broadband connection","Cell phone",24,23,2,2,10,42,20,20,48,82,48,74,0,2,Some,"Undergraduate degree",Pop,Invisibility,Happy,"Musician or singer","Wildlife, animals"
USA,NY,2015,"7         ",Female,12,Right-Handed,152,21,142,1,Bus,20,.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,RI,2013,"6         ",Female,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,GU,2014,"8         ",Female,"15 ",Right-Handed,150,22,147,1,Bus,25,,,Basketball,225,1000,503,604,1000,1000,22,"Same length",65,60,"Index finger",November,Summer,No,No,Pizza/Pasta,Other,"Mathematics and statistics",7,5,8,"No internet connection","In person",0,0,0,0,1,3,0,1,0,0,1,8,0,8,Some,"Graduate degree","Rap/Hip hop",Telepathy,Healthy,Friend,"International aid"
USA,PA,2015,"6         ",Female,12,Right-Handed,150,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CO,2016,"7         ",Female,12,Right-Handed,151,,65,1,Car,10,0.422,49,Soccer,,,,,,,,,,,,April,Spring,No,No,Breads/Sandwiches,,,7,9,5,"Yes - broadband connection","Text messaging",5,10,,,,,,,,,,,,,"A lot","Graduate degree",Country,Fly,Happy,Actor,Health
USA,IN,2016,"8         ",Female,14,,"153 ",22.5,152,1,Bus,20,.358,42,Other,1000,487,353,487,0,0,24,"Same length",8.5,10,"Same length",August,Spring,Yes,No,Desserts,"Energy drink",Music,9,12,6,"Yes - broadband connection","Cell phone",9,8,4,5,1,2,2,3,1,1,3,0,0,1,"A lot","Graduate degree",Pop,Invisibility,Famous,Relative,"Wildlife, animals"
USA,CA,2015,"6         ",Female,12,Right-Handed,1650,260,1500,1,Car,8,0.859,57,Walking/Hiking,500,500,500,300,1000,1000,260,"Same length",8,7,"Index finger",November,Spring,No,No,Seafood,Water,Music,11,13,4,"Yes - other","Internet chat or instant messaging",26,20,7,5,1,18,5,20,22,18,80,50,0,15,"A lot","Graduate degree",Pop,"Freeze time",Famous,Actor,Other
USA,AR,2016,"8         ",Female,13,Right-Handed,159,23,155,1,Bus,40,.71,50,Athletics,487,775,989,636,0,1000,26,"Left foot",8,6.5,"Index finger",April,Winter,Yes,No,Other,Tea,History,8,10,9,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",10,20,24,14,1,1,3,1,12,2,24,5,0,24,"Very little","Graduate degree",Pop,Fly,Rich,"Community leader or elder",Health
USA,WI,2017,"8         ",Female,16,Ambidextrous,165,26,156,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2013,"8         ",Female,13,Right-Handed,160,22,155,1,Bus,25,.484,55,Lacrosse,750,850,650,850,600,601,22,"Same length",7.8,7.6,"Index finger",September,Winter,No,No,Pizza/Pasta,Water,Art,8,11,5,"Yes - broadband connection","Text messaging",125,200,4,1,15,20,7,0,3,5,6,5,0,8,Some,"Graduate degree","Rock and roll","Freeze time",Happy,Relative,"International aid"
USA,WI,2016,"7         ",Female,13,Right-Handed,172,27,172.5,1.5,Bus,35,.332,40,Baseball/Softball,87,85,95,95,60,90,27,"Same length",7.5,8.5,"Ring finger",September,Summer,No,No,Fruit,Water,Science,8,8,4,"Yes - broadband connection","In person",1,0,60,1,2,4,3,.5,1,2,3,4,0,1.5,Some,"Graduate degree",Country,Telepathy,Happy,Relative,"Education/Youth development"
USA,MD,2015,"7         ",Female,13,Right-Handed,5,20,68,2,Bus,15,1.008,45,Soccer,0,0,0,1000,1000,1000,20,"Same length",4,4,"Same length",November,Summer,Yes,No,Pizza/Pasta,Juice,English,6,9,5,"Yes - other","Text messaging",60,30,3,2,1,1,5,2,3,4,1,2,0,1,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,Friend,Health
USA,FL,2016,"7         ",Female,12,Right-Handed,160.2,23,30,1,Car,5,,,Dancing,500,1000,1000,500,999,1000,23,"Right foot",60,70,"Ring finger",October,Fall,Yes,No,Pizza/Pasta,Water,Science,10,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MA,2016,"8         ",Female,13,Right-Handed,,,,2,Bus,3,,60,Basketball,,,,,,,,"Right foot",,,,May,Summer,Yes,No,Fruit,Juice,"Mathematics and statistics",6,7,5,"Yes - other","Internet chat or instant messaging",4,6,4,4,0,1,0,0,12,5,24,6,0,1,"Very little","High school","Rap/Hip hop",Telepathy,Happy,"Community leader or elder","Education/Youth development"
USA,MA,2015,"7         ",Female,12,Ambidextrous,170,26,164,7,Bus,25,.249,28,"Martial Arts",800,500,750,1000,1000,1000,26,"Same length",84,74,"Index finger",August,Summer,Yes,No,Pizza/Pasta,Coffee,Other,9,5,5,"Yes - other","Text messaging",150,200,50,1,10,140,24,4,80,168,168,7,9,0,"Very little",Other,Pop,Telepathy,Rich,Other,Other
USA,OH,2011,"6         ",Female,12,Right-Handed,152.4,33.5,152.4,1,Car,5,0.313,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,GA,2011,"6         ",Female,11,Right-Handed,150,23,159,1,Bus,38,0.327,44,Baseball/Softball,100,100,100,,1000,1000,24,"Left foot",70,69,"Index finger",February,Winter,No,No,Pizza/Pasta,Water,Art,9,11,5,"Yes - other",E-mail,0,0,8,0.3,9,10,12,3,0,0,7,0.3,0,3,"A lot",Other,Pop,Fly,Healthy,Relative,Religious
USA,NC,2014,"8         ",Female,13,,161,22,166,2,Car,10,.525,46,Golf,86,674,497,310,471,1000,22,"Same length",60,70,"Ring finger",June,Winter,No,No,Meat,"Soft drink (non-caffeinated)",Music,8,6,7,"Yes - broadband connection","Cell phone",57,69,4,8,4,6,5,2,12,10,8,4,0,3,"A lot","Graduate degree",Pop,"Freeze time",Happy,Relative,"International aid"
USA,CA,2012,"7         ",Female,12,Left-Handed,,,,2,Car,45,0.469,45,Skateboarding/Rollerblading,900,800,900,700,500,800,,"Left foot",,,"Ring finger",August,Summer,Yes,No,Meat,Juice,"Physical education",7,8,4,"Yes - other","Internet chat or instant messaging",15,200,2,3,3,2,24,10,20,15,20,20,0,2,"A lot","Graduate degree",Techno/Electronic,"Freeze time",Healthy,"Sports person",Health
USA,MD,2013,"8         ",Female,14,Right-Handed,175,26.6,175,1,Car,3,.609,68,Soccer,444,225,203,503,246,455,26.6,"Same length",87,84,"Index finger",December,Spring,Yes,No,Meat,Water,Science,7,10,5,"Yes - broadband connection","In person",0,0,30,0,20,63,5,0,0,0,8,21,0,8,Some,"Undergraduate degree",Other,Fly,Healthy,Other,Religious
USA,AR,2016,"7         ",Female,13,,154,24,157,1,Car,10,0.498,43,Dancing,1000,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WI,2014,"8         ",Female,14,Right-Handed,164,27.5,158,1,Car,7,.407,56,Basketball,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,RI,2013,"6         ",Female,12,Right-Handed,164,25,163,3,Bus,5,0.46,37,Dancing,1000,754,1000,1000,840,840,25,"Same length",80,80,"Same length",December,Spring,Yes,No,Meat,"Powdered drink",Art,10,14,2,"Yes - broadband connection","Internet chat or instant messaging",78,8928,28,72,7,28,12,12,72,82,72,16,5,5,"Very little","Graduate degree","Rap/Hip hop","Freeze time",Rich,Friend,"Wildlife, animals"
USA,OH,2015,"8         ",Female,14,Right-Handed,24.40,22,24.40,1,Bus,60,0.433,50,Walking/Hiking,5,999,700,558,2,500,21.5,"Right foot",10,6,"Index finger",December,Spring,Yes,No,Pizza/Pasta,"Sports drink","Social studies",6,10,,,"Myspace, Facebook, other social networking sites, or blog",30,30,60,60,40,30,40,60,90,90,40,10,0,50,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,Teacher,"Wildlife, animals"
USA,KY,2016,"6         ",Female,12,Right-Handed,142,20,146,1,Walk,1,.363,46,Walking/Hiking,1000,1000,1000,1000,1000,1000,23,"Left foot",7,7,"Same length",January,Summer,Yes,No,Other,Tea,"Mathematics and statistics",6,7,9,"Yes - other",Other,0,0,0,0,25,28,25,0,0,0,0,23,25,26,"A lot",Other,Other,"Freeze time",Happy,"Community leader or elder","Arts, culture, sports"
USA,NY,2012,"6         ",Female,11,Right-Handed,,,,1,Walk,10,0.566,44,Tennis,150,1000,289,465,1000,1000,,,,,,July,Fall,No,No,Meat,Coffee,Science,9,10,5,"Yes - broadband connection","Text messaging",16,15,2,3,6,3,5,2,3,2,3,3,1,3,Some,"Graduate degree",Country,Telepathy,Famous,Actor,Religious
USA,NY,2013,"8         ",Female,13,Right-Handed,155,21,140,2,Bus,26,0.413,40,Other,700,700,700,700,800,850,21,"Same length",76,79,"Ring finger",March,Summer,No,No,"No favorite",Tea,English,7,8,3,"Yes - broadband connection","Text messaging",75,80,8,0,10,2,7,0,0,2,5,4,0,0,"A lot","Graduate degree",Other,Fly,Happy,"Business person","International aid"
USA,NC,2016,"6         ",Female,12,Left-Handed,165,26.2,,3,Car,3,0.553,55,Gymnastics,,,,,,,,"Right foot",,,"Ring finger",November,Summer,Yes,No,"No favorite",Tea,Art,9,7,4,"Yes - other","Text messaging",,,1,7,1,3,1,1,0,1,0,1,1,1,Some,"Some college","Rap/Hip hop",Telepathy,Healthy,"Musician or singer","International aid"
USA,TX,2014,"6         ",Female,12,Right-Handed,160,26,121,2,Bus,15,0.125,61,Basketball,1000,1000,620,620,1000,620,26,"Same length",35,35,"Same length",December,Winter,Yes,No,"No favorite",Water,Music,10,6,4,"Yes - other","Cell phone",4,1,12,2,1,14,10,0,0,3,3,0,0,3,Some,"Some college",Pop,"Freeze time",Famous,Relative,Other
USA,GU,2014,"8         ",Female,14,Right-Handed,145,21,145,1,Car,20,1.402,71,Soccer,1000,1000,1000,1000,1000,1000,21,"Same length",60,80,"Ring finger",April,Spring,No,No,Poultry,Water,"Mathematics and statistics",6,6,6,"Yes - broadband connection",Other,250,300,50,15,5,130,20,5,4,40,40,10,2,6,Some,"Graduate degree",Pop,Telepathy,Happy,Relative,Health
USA,MD,2014,"7         ",Female,13,Left-Handed,167,21,160,2,Bus,15,0.367,47,Baseball/Softball,433,1000,1000,856,350,455,21,"Same length",7.5,7,"Index finger",March,Summer,No,No,Poultry,Juice,English,8,5,4,"Yes - other","Text messaging",100,200,6,2,5,24,12,4,6,1,2,6,0,2,"A lot","High school","Rap/Hip hop",Invisibility,Famous,Relative,"International aid"
USA,IL,2014,"6         ",Female,12,Right-Handed,150,23,145,2,Car,6,0.515,44,Gymnastics,1000,800,400,900,200,700,23,"Same length",69,73,"Ring finger",March,Fall,Yes,No,Meat,Water,,9,10,4,"Yes - broadband connection","Text messaging",4,2,4,0.5,8,3,4,7,1,1.5,10,7,0,1,"A lot","Graduate degree",Pop,Telepathy,Healthy,Teacher,"Wildlife, animals"
USA,IL,2014,"6         ",Female,12,Right-Handed,135,19,128,1,Bus,25,0.343,53,Gymnastics,1000,1000,679,578,492,492,19,"Same length",75,75,"Same length",February,Summer,No,No,Pizza/Pasta,Tea,Science,10,9,4,"Yes - broadband connection","In person",0,0,8,2,9,29,28,4,6,1,2,35,3,4,Some,"Graduate degree",Pop,Fly,Famous,"Musician or singer","International aid"
USA,MA,2014,"8         ",Female,13,Right-Handed,150,23,153,1,Bus,5,0.341,48,Running/Jogging,626,535,428,305,1000,1000,22,"Right foot",7.4,7.5,"Ring finger",September,Fall,Yes,No,Salads,Water,"Mathematics and statistics",6,10,4,"Yes - broadband connection","Text messaging",300,300,42,1,20,7,21,0,20,20,7,7,0,8,"A lot","Graduate degree",Classical,"Freeze time",Happy,Relative,"Wildlife, animals"
USA,CA,2015,"6         ",Female,11,Right-Handed,133,22,138,2,Bus,45,0.388,33,Tennis,999,800,500,987,800,800,21.5,"Right foot",80,90,"Ring finger",April,Winter,No,No,Poultry,Water,Languages,9.5,9.5,5,"Yes - broadband connection","In person",10,10,1,0.1,10,10,10,1,0.1,1,10,2,0,1,Some,Other,Pop,Fly,Happy,Politician,"International aid"
USA,CO,2016,"7         ",Female,12,Right-Handed,146.0,21,50,1,Car,15,0.414,47,Dancing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2013,"8         ",Female,13,Ambidextrous,155,24,155,3,Bus,15,0.465,43,Athletics,1000,1000,1000,1000,1000,1000,24,"Right foot",67,65,"Same length",January,Winter,Yes,No,Desserts,Water,"Mathematics and statistics",7,17,4,"Yes - broadband connection","In person",0,2,4,1,4,3,2,2,1,1,1,2,1,1,Some,Other,Pop,Telepathy,Happy,Actor,"Wildlife, animals"
USA,CA,2015,"6         ",Female,11,Right-Handed,160,24,155,2,Car,7,0.775,48,Other,500,500,1000,400,1000,1000,24,"Same length",7,6.5,"Index finger",April,Spring,Yes,No,"Rice/Noodle dishes",Juice,"Physical education",9,10,4,"Yes - dial-up connection","Cell phone",30,60,15,2,4,10,25,1,2,2,2,5,0,4,,"Graduate degree","Rap/Hip hop",Telepathy,Rich,Other,Health
USA,CA,2015,"6         ",Female,11.5,Right-Handed,147.3,21.6,149.8,1,Car,10,.462,42,Other,584,444,663,230,701,658,21.6,"Same length",76.2,88.9,"Ring finger",August,Spring,Yes,No,Pizza/Pasta,Water,History,8,10,5,"Yes - broadband connection","In person",10,12,4,.5,8,15,5,.5,0,1,10,2,0,.5,Some,"Graduate degree",Pop,Fly,Happy,Relative,"International aid"
USA,CA,2012,"7         ",Female,13,Right-Handed,146,23,159,1,"Rail (Train/Tram/Subway)",36,0.472,45,Soccer,900,1000,600,800,900,1000,23,"Same length",75,75,"Same length",November,Fall,Yes,Yes,Breads/Sandwiches,Water,Art,10,12,5,"Yes - broadband connection","Text messaging",10,7,3,0,"2 ",32,10,1,0,4,5,6,0,3,Some,"Graduate degree",Other,Fly,Healthy,"Sports person","Wildlife, animals"
USA,CA,2015,"6         ",Female,12,Left-Handed,167,24,78,3,Bus,20,,80,Bowling,500,800,1000,1000,500,1000,25,"Same length",80,80,"Same length",March,Fall,No,Yes,Fruit,Water,English,,,,,,,,,,,,,,,,,,,,"A lot",,Classical,"Super strength",,Teacher,Religious
USA,OH,2014,"6         ",Female,11,Right-Handed,159,25,155,1,Car,4,0.475,32,Gymnastics,1000,1000,1000,888,112,102,26,"Left foot",90,100,"Ring finger",March,Fall,No,Yes,Salads,Water,"Social studies",8,11,5,"Yes - broadband connection","Text messaging",50,20,15,1,14,18,14,2,3,5,5,7,8,7,Some,"Undergraduate degree",Other,Fly,Healthy,Relative,"Wildlife, animals"
USA,FL,2015,"7         ",Female,12,Right-Handed,158,100,152,1,Car,18,1.256,82,Soccer,1000,50,100,190,0,0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,IL,2014,"6         ",Female,12,Right-Handed,150,21,142,1,Walk,10,0.591,39,Soccer,800,900,700,899,300,989,21,"Same length",65,65,"Same length",March,Fall,No,No,Pizza/Pasta,Water,"Mathematics and statistics",9,9,5,"Yes - other","Cell phone",3,3,4,0.5,10,15,6.5,0.5,0.5,0.1,0.2,3,0,2,Some,Other,"Rock and roll",Fly,Happy,Teacher,"International aid"
USA,CA,2015,"8         ",Female,13,Ambidextrous,175.,30,175,2,Car,20,0.899,34,Basketball,320,650,650,700,900,1000,30,"Same length",,,"Ring finger",June,Winter,No,No,Meat,Water,"Physical education",9,11,5,"Yes - other","Text messaging",25,20,5,0,7,6,2,0,10,10,8,4,1,8,"A lot","Graduate degree","Rock and roll",Invisibility,Happy,Relative,Environment
USA,GA,2011,"6         ",Female,11,Right-Handed,157,21,153,2,Bus,15,.39,38,Cycling,450,600,800,,1000,1000,22.5,"Left foot",61,66,"Ring finger",June,Spring,Yes,No,Pizza/Pasta,Milk,Art,8,11,3,"Yes - broadband connection",E-mail,20,10,.5,.3,2,1,2,1.5,1,.5,1.5,0,0,.5,Some,"Graduate degree",Pop,Telepathy,Happy,Relative,"Wildlife, animals"
USA,GU,2014,"6         ",Female,12,Right-Handed,155,24,174,1,Car,3,0.998,48,Basketball,1000,1000,900,1000,300,600,23,"Right foot",75.0,75.0,"Index finger",January,Spring,No,No,"No favorite","Sports drink","Physical education",8,10,8,"Yes - other","Myspace, Facebook, other social networking sites, or blog",0,2,7,0,2,4,2,0,3,2,3,1,0,3,Some,"Graduate degree",Reggae,Telepathy,Happy,Actor,Health
USA,MA,2015,"8         ",Female,14,Right-Handed,152,21,152,1,Bus,28,.475,45,Baseball/Softball,900,400,200,400,33,100,22,"Left foot",65,60,"Index finger",December,Summer,No,No,Meat,Milk,Science,8,11,3,"Yes - broadband connection","Text messaging",15,30,60,2,4,80,10,4,30,50,10,30,0,4,Some,"Graduate degree",Pop,Fly,Happy,"Community leader or elder","Wildlife, animals"
USA,IN,2016,"8         ",Female,14,Right-Handed,,,,2,Bus,15,0.383,45,Other,,,,,,,,,,,,March,Spring,No,No,"No favorite",Water,Languages,7,,6,"Yes - broadband connection","Cell phone",150,150,4,0,1,6,2,0,,,,,,,,,,,,,
USA,WI,2013,"8         ",Female,13,Ambidextrous,169,23,168,4,Bus,34,0.257,37,Other,900,800,1000,900,1000,1000,21,"Same length",800,700,"Index finger",May,Winter,No,Yes,Fruit,Water,Music,7,2,2,"Yes - broadband connection","Text messaging",800,1000,29,3,10,1,1,108,18,80,80,5,29,38,Some,"Graduate degree","Heavy metal",Invisibility,Famous,"Musician or singer","Wildlife, animals"
USA,RI,2013,"6         ",Female,12,Right-Handed,480,21,144,1,Car,2,0.508,49,Soccer,1000,1000,1000,1000,1000,1000,22,"Left foot",70,60,"Index finger",May,Summer,No,No,Desserts,Water,Art,10,7,5,"Yes - broadband connection","Text messaging",12,10,8,3,5,6,12,0,3,4,8,4,0,0,Some,"Graduate degree",Pop,Fly,Healthy,"Musician or singer","Wildlife, animals"
