Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,IL,2014,"6         ",Female,12,Ambidextrous,"145 ",23,139,2,Walk,"9 ",0.453,35,Basketball,890,840,1000,550,0,200,23,"Right foot",65,71,"Ring finger",April,Spring,Yes,No,"Rice/Noodle dishes",Milk,"Mathematics and statistics",9,11,6,"Yes - broadband connection","Text messaging",30,25,10,1,7,12,8,1,4,6,5,3,0,3,Some,"Graduate degree",Pop,Invisibility,Happy,"Doctor or nurse","Wildlife, animals"
USA,CT,2015,"6         ",Female,11,Right-Handed,162,21,162,1,Bus,,0.615,46,Basketball,998,878,1000,1000,4,4,22,"Left foot",84,89,"Ring finger",August,Spring,Yes,No,"No favorite",Water,"Mathematics and statistics",4,1,8,"Yes - broadband connection","Text messaging",65,60,9,1,1,8,0,0,0,2,0,2,0,10,"A lot","Some college","Rap/Hip hop",,Happy,Relative,Religious
USA,IN,2016,"8         ",Female,13,Right-Handed,160,23,162,1,Bus,15,0.283,39,Other,1000,700,800,500,60,50,22.9,"Right foot",90,96,"Same length",April,Spring,No,No,Seafood,Water,Art,8,10,4,"Yes - other","In person",30,20,56,0,24.5,112,7,3,7,1,8,21,4,7,"A lot","Graduate degree",Pop,Fly,Happy,Other,Religious
USA,CO,2015,"6         ",Female,12,Right-Handed,,,,1,Car,"5 ",8.4,"63 ",Running/Jogging,600,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CO,2016,"7         ",Female,13,Right-Handed,96,24,40,1,Bicycle,30,1.008,53,Walking/Hiking,144,305,487,668,834,1000,24,"Same length",80,70,"Ring finger",October,Winter,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",9,9,4,"Yes - other","In person",0,0,9,0,1,8,9,0,0,0,0,9,0,2,None,"Graduate degree",Other,Fly,Happy,Other,"Wildlife, animals"
USA,PA,2015,"6         ",Female,12,Left-Handed,148,22,146,2,Bus,3,0.44,0.46,Walking/Hiking,1000,278,786,813,0,0,22,"Same length",,71,"Same length",November,Fall,Yes,No,Other,Water,History,7,8,5,"Yes - other","In person",0,0,126,0,11,5,4,3,0,0,5,3,0,9,Some,"Graduate degree",Other,Telepathy,Healthy,Other,"Wildlife, animals"
USA,NY,2014,"6         ",Female,12,Right-Handed,154,30,141,2,Car,3,0.909,29,Swimming,0,1000,1000,1000,0,1000,32,"Left foot",,60.5,"Ring finger",March,Summer,No,No,Desserts,Juice,"Mathematics and statistics",9,11,4,"Yes - broadband connection","Text messaging",5,2,0,1,3,0,0,2,1,1,0,3,0,1,None,"Less than high school",Other,Fly,Famous,Actor,"Education/Youth development"
USA,IL,2016,"8         ",Female,13,Right-Handed,154,22,154,2,Car,5,.409,57,Tennis,668,749,920,882,225,802,22,"Same length",69,71,"Ring finger",December,Fall,Yes,No,Breads/Sandwiches,Water,Art,5,10,2,"Yes - broadband connection","Internet chat or instant messaging",48,60,0,1,9,5,0,0,0,5,28,0,0,2,Some,"Graduate degree","Punk rock","Super strength",Happy,"Musician or singer",
USA,CO,2016,"7         ",Female,12,Right-Handed,154.9,22.86,154.9,1,Car,10,0.932,48,Rowing,1000,1000,1000,1000,200,500,22,"Same length",9,9,"Same length",April,Spring,No,No,Desserts,Water,"Social studies","8 ",13,5,,,,,,,,,,,,,,,,,,,,,,,
USA,WI,2014,"6         ",Female,11,Ambidextrous,148,21,151,1,Car,15,0.695,40,Gymnastics,0,500,500,500,480,470,21,"Same length",,,"Ring finger",August,Fall,No,No,Meat,"Powdered drink","Mathematics and statistics",10,7,3,"Yes - other","Text messaging",5,20,1,1,1,2,2,1,0,1,1,1,0,0,Some,"Graduate degree",Country,Invisibility,Famous,Actor,"Wildlife, animals"
USA,OH,2016,"8         ",Female,13,Right-Handed,161,10,160,3,Car,14,0.38,35,Other,321,829,465,225,850,957,9,"Right foot",30,26,"Index finger",February,Spring,No,Yes,Pizza/Pasta,Tea,Science,8.5,10,4,"Yes - broadband connection",E-mail,3,6,1,,,,,,,,,,,,,,,,,,
USA,MA,2015,"7         ",Female,"13 ",Right-Handed,161,24,162,1,Bus,20,.352,33,Dancing,750,600,400,500,400,700,24,"Same length",61,60,"Index finger",March,Fall,No,No,Fruit,Juice,"Mathematics and statistics",8,8.5,5,"Yes - broadband connection","Text messaging",25,35,35,0,7,22,4,1,3,4,16,11,0,0,"Very little","Graduate degree",Pop,Fly,Healthy,Relative,Health
USA,WI,2016,"8         ",Female,13,Right-Handed,158,23,"156 ",1,Car,"8 ",0.619,80,Other,0,0,0,50,0,1000,23,"Same length","0.8 ",0.8,"Same length",June,Summer,No,No,Meat,Juice,Languages,8,6,3,"Yes - other","Text messaging",700,700,90,80,1,100,80,0,1000,1000,1000,20,0,3,"Very little","Graduate degree",Country,Invisibility,Healthy,Other,"International aid"
USA,MD,2014,"7         ",Female,13,Right-Handed,155,21,156,2,Car,20,0.286,36,Skateboarding/Rollerblading,1000,1000,1000,1000,800,1000,21,"Same length",70,70,"Same length",October,Summer,No,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",7,6,4,"Yes - other","Text messaging",150,160,28,21,21,42,28,35,105,115,105,5,0,14,Some,"Graduate degree",Pop,"Freeze time",Happy,"Musician or singer","International aid"
USA,IL,2014,"6         ",Female,11,Right-Handed,144,22.5,55,1,Bus,30,0.797,52,Gymnastics,100,200,500,800,700,600,23,"Left foot",65,60,"Index finger",May,Summer,No,No,Pizza/Pasta,Water,Other,9,11,4,"Yes - other","In person",15,30,36,10,14,24,24,3,36,36,24,13,10,24,"A lot","Graduate degree",Pop,Invisibility,Famous,Other,Health
USA,GU,2014,"8         ",Female,15,Right-Handed,25,25,150,0,Bus,25,,,Basketball,733,594,1000,1000,529,781,25,"Same length",60,70,"Ring finger",April,Summer,Yes,No,Seafood,Tea,Music,6,5,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",5,4,8,1,0,4,1,2,6,6,6,1,0,1,"Very little","Graduate degree",Reggae,Fly,Happy,"Musician or singer","International aid"
USA,WI,2016,"6         ",Female,12,Right-Handed,163,22,163,1,Car,10,.427,48,Soccer,500,500,500,500,1000,1000,21,"Right foot",80,70,"Index finger",April,Fall,Yes,No,Desserts,"Energy drink","Mathematics and statistics",6,8,3,"Yes - broadband connection","Text messaging",30,30,3,1,5,4,6,4,6,6,6,3,0,1,None,"Graduate degree",Pop,"Freeze time",Rich,"Musician or singer","Arts, culture, sports"
USA,CO,2016,"7         ",Female,12,Right-Handed,4.11,,150,"1 ",Walk,10,0.451,62,Baseball/Softball,100,10000,50,50,43,20,,,,,"Same length",September,Spring,Yes,No,Fruit,Juice,"Computers and technology",9,5,5,"Yes - other","Text messaging",10,11,8,2,2,10,11,2,2,4,3,3,1,1,None,"High school","Rap/Hip hop",Fly,Healthy,"Doctor or nurse",Health
USA,WY,2015,"7         ",Female,13,Left-Handed,158,25,160,1,Car,3,0.471,57,Dancing,1000,1000,1000,1000,0,0,.25,"Same length",,,,December,Summer,No,No,Seafood,Water,English,6,12,5,"Yes - other","Text messaging",74,69,17,14,2,4,0,0,50,50,40,20,0,5,"Very little","Graduate degree",Pop,Telepathy,Happy,Actor,Health
USA,MA,2015,"8         ",Female,14,Right-Handed,160,21,164,1,Car,5,0.359,36,Basketball,999,998,800,900,999,999,20,"Right foot",80,70,"Index finger",February,Summer,No,No,Fruit,Coffee,Science,7,6,4,"Yes - other","Text messaging",125,175,10,6,21,21,6,0,5,10,4,7,2,2,Some,"Graduate degree",Country,Telepathy,Healthy,Relative,Health
USA,GU,2014,"8         ",Female,14,Right-Handed,151,24,154,2,Bus,15,2.697,,Dancing,85,100,155,1000,1000,998,24,"Same length",75,75,"Same length",December,Summer,No,No,Pizza/Pasta,Milk,"Physical education",8,10,5,"Yes - other","In person",2,4,8,2,1,5,0,1,2,1,2,1,0,5,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,Teacher,"Education/Youth development"
USA,CO,2015,"7         ",Female,11,Right-Handed,,,,1,Car,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WI,2013,"8         ",Female,12,Right-Handed,159,23,167,1,Bus,8,0.549,61,Other,428,481,342,310,1000,1000,24,"Left foot",7,7,"Index finger",June,Summer,Yes,No,Pizza/Pasta,Water,Music,7,9,6,"Yes - broadband connection","Text messaging",1,2,10,1,3,10,7,0,5,6,18,17,0,2,Some,"Graduate degree",Pop,Fly,Healthy,Other,Health
USA,DC,2011,"6         ",Female,11,Right-Handed,157,24,153,1,Car,20,0.673,56,Athletics,733,834,1000,,1000,0,24,"Same length",75,75,"Same length",August,Summer,Yes,No,Salads,"Energy drink",Art,9,13,9,"No internet connection","Text messaging",20,40,2,3,2,4,2,2,0,0,0,5,2,3,"Very little","Graduate degree","Rap/Hip hop",Invisibility,Healthy,Relative,Health
USA,RI,2013,"6         ",Female,12,Right-Handed,153,24,147,2,Walk,10,0.768,39,Walking/Hiking,900,500,1000,1000,10,1000,22,"Right foot",60,60,"Same length",October,Summer,Yes,No,Poultry,Juice,English,7,5,3,"Yes - broadband connection","Text messaging",55,60,24,1,2,1,3,1,3,24,24,1,0,2,"Very little","Graduate degree",Pop,Telepathy,Healthy,"Musician or singer","International aid"
USA,RI,2013,"8         ",Female,14,Right-Handed,156,20,,1,Bus,60,0.32,32,Baseball/Softball,300,200,100,400,1000,1000,20,"Same length",50,60,"Ring finger",March,Summer,Yes,No,Pizza/Pasta,Milk,History,7,13,5,"Yes - other","Text messaging",650,700,12,2,5,7,6,1,50,52,52,3,0,3,Some,"Graduate degree","Rap/Hip hop",Fly,Rich,Friend,Health
USA,MS,2015,"8         ",Female,65,Right-Handed,175,25,170,1,Car,20,.571,65,Walking/Hiking,1000,500,500,1000,1000,1000,23,"Right foot",,,"Index finger",April,Fall,Yes,No,Meat,Water,"Mathematics and statistics",7,6,1,"Yes - other","Cell phone",0,0,,,,,,,,,,,,,"A lot","Graduate degree",,,,,
